epoch,accuracy,loss,val_accuracy,val_loss
0,0.4636015295982361,1.5690464973449707,0.6000000238418579,1.245849370956421
1,0.7586206793785095,0.6736910343170166,0.75,0.7896232604980469
2,0.8965517282485962,0.4111962914466858,0.800000011920929,0.6454838514328003
3,0.9578543901443481,0.22091373801231384,0.800000011920929,0.5756187438964844
4,0.9808428883552551,0.14140251278877258,0.800000011920929,0.5024346709251404
5,0.977011501789093,0.11125053465366364,0.8500000238418579,0.5276497602462769
6,0.9885057210922241,0.0718228742480278,0.800000011920929,0.49063166975975037
7,0.9808428883552551,0.07629317045211792,0.8500000238418579,0.4905850291252136
8,0.984674334526062,0.05389538034796715,0.800000011920929,0.6105793714523315
9,0.9885057210922241,0.047837238758802414,0.800000011920929,0.556073009967804
10,0.992337167263031,0.04140125960111618,0.800000011920929,0.5425717234611511
11,0.9885057210922241,0.03529832884669304,0.800000011920929,0.5551329255104065
12,0.984674334526062,0.04069118946790695,0.800000011920929,0.5680364370346069
13,0.992337167263031,0.03121868148446083,0.800000011920929,0.5508390665054321
14,0.992337167263031,0.02918924018740654,0.800000011920929,0.5513707399368286
15,0.9961685538291931,0.023230193182826042,0.800000011920929,0.5830156803131104
16,0.9885057210922241,0.025009049102663994,0.800000011920929,0.6349653005599976
17,0.9885057210922241,0.025613537058234215,0.800000011920929,0.6224938631057739
18,0.9885057210922241,0.028623569756746292,0.800000011920929,0.6193533539772034
19,0.984674334526062,0.027276886627078056,0.800000011920929,0.5212727189064026
20,0.992337167263031,0.025713970884680748,0.800000011920929,0.5498069524765015
21,0.992337167263031,0.02214047685265541,0.800000011920929,0.6460140943527222
22,0.9885057210922241,0.04416913911700249,0.800000011920929,0.7425118088722229
23,0.9885057210922241,0.024273131042718887,0.800000011920929,0.5934003591537476
24,0.9961685538291931,0.019299371168017387,0.800000011920929,0.5710264444351196
25,0.992337167263031,0.021852191537618637,0.800000011920929,0.6582883596420288
26,0.9961685538291931,0.021812787279486656,0.800000011920929,0.5900106430053711
27,0.9885057210922241,0.03016776032745838,0.800000011920929,0.5659098029136658
28,0.9961685538291931,0.015736576169729233,0.800000011920929,0.6583869457244873
29,0.992337167263031,0.019382981583476067,0.800000011920929,0.699000358581543
30,0.984674334526062,0.020171910524368286,0.800000011920929,0.6224974393844604
31,0.992337167263031,0.019308792427182198,0.8500000238418579,0.5437639951705933
32,0.992337167263031,0.016980787739157677,0.800000011920929,0.6051425933837891
33,0.992337167263031,0.015755033120512962,0.800000011920929,0.7509931325912476
34,0.9885057210922241,0.029281403869390488,0.800000011920929,0.7415332794189453
35,0.9885057210922241,0.022146131843328476,0.8500000238418579,0.5825864672660828
36,0.992337167263031,0.01932341419160366,0.800000011920929,0.6297580599784851
37,0.9961685538291931,0.010426881723105907,0.800000011920929,0.6773654222488403
38,0.992337167263031,0.01935746893286705,0.800000011920929,0.6596019268035889
39,0.992337167263031,0.020456906408071518,0.8500000238418579,0.5358456969261169
40,0.9885057210922241,0.027835683897137642,0.800000011920929,0.6130552291870117
41,0.992337167263031,0.016748134046792984,0.800000011920929,0.7883450984954834
42,0.992337167263031,0.014937790110707283,0.800000011920929,0.6549765467643738
43,0.9961685538291931,0.01398945041000843,0.800000011920929,0.6319612264633179
44,0.992337167263031,0.014406532049179077,0.800000011920929,0.6433545351028442
45,0.9961685538291931,0.015004727989435196,0.800000011920929,0.6456212401390076
46,0.992337167263031,0.013318021781742573,0.800000011920929,0.6261252164840698
47,0.992337167263031,0.015596505254507065,0.800000011920929,0.6332469582557678
48,0.9961685538291931,0.010961207561194897,0.800000011920929,0.7097775340080261
49,0.9961685538291931,0.016024984419345856,0.800000011920929,0.647335410118103
